Start number domino : 23
Max Depth :28
35
3 : 23
4 : 23
5 : 23
6 : 23
7 : 23
8 : 23
9 : 23
10 : 23
11 : 23
12 : 25
13 : 42
14 : 97
15 : 321
16 : 994
17 : 2959
18 : 8039
19 : 19787
20 : 44658
21 : 90830
22 : 160360
23 : 243482
24 : 331214
25 : 415527
26 : 442446
27 : 326429
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 35
10 : 35
11 : 71
12 : 185
13 : 678
14 : 2352
15 : 7694
16 : 23206
17 : 63999
18 : 161147
19 : 370048
20 : 772582
21 : 1449744
22 : 2402519
23 : 3509387
24 : 4645378
25 : 5688901
26 : 6030640
27 : 4575818
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 35
10 : 37
11 : 120
12 : 381
13 : 1412
14 : 4935
15 : 16006
16 : 47946
17 : 131445
18 : 328174
19 : 745829
20 : 1541801
21 : 2875243
22 : 4760940
23 : 6971348
24 : 9237904
25 : 11286023
26 : 11949887
27 : 9110582
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 35
10 : 46
11 : 166
12 : 559
13 : 2072
14 : 7294
15 : 23647
16 : 70760
17 : 193876
18 : 483816
19 : 1097787
20 : 2263883
21 : 4218967
22 : 7002790
23 : 10293679
24 : 13681085
25 : 16739775
26 : 17744053
27 : 13559738
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 35
10 : 57
11 : 210
12 : 756
13 : 2778
14 : 9765
15 : 31636
16 : 94417
17 : 257993
18 : 641745
19 : 1451502
20 : 2985144
21 : 5551058
22 : 9207093
23 : 13549953
24 : 18043600
25 : 22086619
26 : 23358095
27 : 17808280
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 35
10 : 71
11 : 257
12 : 943
13 : 3467
14 : 12156
15 : 39416
16 : 117741
17 : 321632
18 : 799408
19 : 1807039
20 : 3716709
21 : 6915628
22 : 11483163
23 : 16928447
24 : 22580368
25 : 27653318
26 : 29234680
27 : 22287350
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 36
10 : 76
11 : 292
12 : 1097
13 : 4076
14 : 14292
15 : 46352
16 : 138376
17 : 377636
18 : 938230
19 : 2121844
20 : 4369513
21 : 8145911
22 : 13563830
23 : 20060581
24 : 26812155
25 : 32823924
26 : 34649725
27 : 26412861
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 38
10 : 83
11 : 323
12 : 1243
13 : 4638
14 : 16312
15 : 52967
16 : 158303
17 : 432838
18 : 1077197
19 : 2439133
20 : 5028835
21 : 9392458
22 : 15687548
23 : 23288681
24 : 31225910
25 : 38314299
26 : 40592592
27 : 31167551
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 40
10 : 95
11 : 371
12 : 1414
13 : 5293
14 : 18621
15 : 60472
16 : 180940
17 : 495171
18 : 1233234
19 : 2793177
20 : 5758838
21 : 10758851
22 : 17984226
23 : 26725538
24 : 35863317
25 : 44032643
26 : 46674554
27 : 35817687
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 42
10 : 110
11 : 418
12 : 1591
13 : 5961
14 : 20963
15 : 68091
16 : 203773
17 : 557670
18 : 1388774
19 : 3144830
20 : 6481927
21 : 12106211
22 : 20238142
23 : 30093216
24 : 40414928
25 : 49644577
26 : 52622720
27 : 40367493
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 42
10 : 119
11 : 461
12 : 1776
13 : 6633
14 : 23294
15 : 75776
16 : 227079
17 : 621466
18 : 1547385
19 : 3503243
20 : 7216212
21 : 13472076
22 : 22532031
23 : 33531367
24 : 45043931
25 : 55322411
26 : 58636861
27 : 44979329
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 44
10 : 124
11 : 510
12 : 1953
13 : 7291
14 : 25622
15 : 83500
16 : 250483
17 : 685813
18 : 1708182
19 : 3866994
20 : 7958613
21 : 14845570
22 : 24833477
23 : 36983517
24 : 49692197
25 : 61019315
26 : 64735954
27 : 49828222
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 49
10 : 136
11 : 550
12 : 2131
13 : 7950
14 : 27926
15 : 91099
16 : 273679
17 : 750216
18 : 1869550
19 : 4232178
20 : 8705698
21 : 16227875
22 : 27138798
23 : 40419295
24 : 54288330
25 : 66609047
26 : 70712024
27 : 54666045
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 54
10 : 149
11 : 601
12 : 2315
13 : 8602
14 : 30268
15 : 98780
16 : 296853
17 : 814188
18 : 2030071
19 : 4597803
20 : 9462121
21 : 17643160
22 : 29510006
23 : 43947645
24 : 58977006
25 : 72251466
26 : 76709822
27 : 59558098
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 59
10 : 159
11 : 644
12 : 2501
13 : 9283
14 : 32649
15 : 106540
16 : 320022
17 : 877873
18 : 2189355
19 : 4959068
20 : 10205074
21 : 19024104
22 : 31815114
23 : 47374289
24 : 63530651
25 : 77735017
26 : 82535861
27 : 64282571
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 60
10 : 167
11 : 684
12 : 2670
13 : 9930
14 : 34913
15 : 113878
16 : 342055
17 : 938636
18 : 2341878
19 : 5306115
20 : 10921678
21 : 20360270
22 : 34042089
23 : 50680893
24 : 67953116
25 : 83107190
26 : 88224069
27 : 68811948
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 63
10 : 178
11 : 730
12 : 2855
13 : 10603
14 : 37222
15 : 121365
16 : 364711
17 : 1001296
18 : 2498830
19 : 5662047
20 : 11653399
21 : 21716256
22 : 36287914
23 : 54002266
24 : 72385652
25 : 88481331
26 : 93892105
27 : 73318510
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 66
10 : 193
11 : 783
12 : 3064
13 : 11404
14 : 39978
15 : 130187
16 : 391103
17 : 1073695
18 : 2678865
19 : 6068107
20 : 12485494
21 : 23253424
22 : 38828540
23 : 57761617
24 : 77415425
25 : 94594427
26 : 100336407
27 : 78384875
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 68
10 : 209
11 : 832
12 : 3267
13 : 12180
14 : 42671
15 : 138836
16 : 416766
17 : 1143823
18 : 2853531
19 : 6463954
20 : 13300203
21 : 24763310
22 : 41327220
23 : 61447072
24 : 82296700
25 : 100430694
26 : 106381283
27 : 83100311
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 69
10 : 217
11 : 891
12 : 3490
13 : 13001
14 : 45508
15 : 147861
16 : 443472
17 : 1216660
18 : 3034994
19 : 6875292
20 : 14145347
21 : 26323710
22 : 43892521
23 : 65203659
24 : 87251491
25 : 106339008
26 : 112458431
27 : 87735322
=====================================
3 : 35
4 : 35
5 : 35
6 : 35
7 : 35
8 : 35
9 : 73
10 : 232
11 : 946
12 : 3705
13 : 13793
14 : 48216
15 : 156571
